OrderID,Date,Time,NumberOfGuests,MadeBy,HandeledBy
2100, 2015-03-23,06:02,1,1000014922,5101250
2101, 2015-05-14,00:20,4,1000010598,5049500
2102, 2017-11-23,06:21,6,1000003539,5032625
2103, 2013-09-22,23:23,1,1000014533,5042750
2104, 2015-12-05,11:16,4,1000010259,5043875
2105, 2014-02-14,04:19,2,1000000616,5102375
2106, 2014-03-25,21:48,6,1000009710,5095625
2107, 2016-07-28,07:47,4,1000010148,5058500
2108, 2017-03-30,03:11,6,1000006601,5100125
2109, 2015-06-06,08:30,3,1000009796,5049500
2110, 2015-04-16,22:28,1,1000014267,5030375
2111, 2015-03-22,06:00,6,1000011429,5051750
2112, 2016-12-08,11:54,4,1000001140,5051750
2113, 2014-04-17,10:35,5,1000004331,5104625
2114, 2017-03-27,09:33,3,1000003008,5050625
2115, 2017-03-31,01:09,6,1000003402,5088875
2116, 2014-11-06,15:35,4,1000003340,5043875
2117, 2014-11-10,16:21,2,1000010410,5064125
2118, 2016-08-23,08:45,5,1000002210,5074250
2119, 2016-11-03,06:07,2,1000009193,5038250
2120, 2014-07-28,06:33,4,1000001983,5032625
2121, 2017-03-18,21:09,5,1000006037,5101250
2122, 2016-07-04,10:58,4,1000011795,5070875
2123, 2016-06-07,00:32,3,1000000248,5063000
2124, 2015-09-23,13:51,4,1000009657,5036000
2125, 2016-04-02,11:35,2,1000000397,5050625
2126, 2014-08-18,16:35,6,1000000514,5103500
2127, 2015-11-05,08:08,2,1000000989,5003375
2128, 2013-10-02,06:04,2,1000013758,5078750
2129, 2017-04-27,09:36,5,1000003776,5082125
2130, 2017-01-23,10:09,3,1000005277,5079875
2131, 2016-01-09,21:56,1,1000001960,5065250
2132, 2017-01-15,16:31,4,1000014347,5095625
2133, 2015-06-25,20:08,5,1000004579,5024750
2134, 2015-07-12,11:49,5,1000013588,5060750
2135, 2016-03-29,10:06,1,1000014665,5110250
2136, 2014-10-22,12:30,4,1000008209,5011250
2137, 2013-09-18,20:22,6,1000007070,5005625
2138, 2014-12-06,11:12,5,1000002217,5054000
2139, 2016-01-10,02:49,2,1000008093,5055125
2140, 2013-12-17,21:38,4,1000011171,5051750
2141, 2014-07-17,16:49,2,1000012190,5048375
2142, 2013-10-23,05:09,3,1000014356,5095625
2143, 2017-04-09,05:33,4,1000009446,5084375
2144, 2015-07-13,23:30,4,1000014184,5102375
2145, 2017-11-27,21:01,3,1000001497,5052875
2146, 2018-01-28,19:31,4,1000010250,5047250
2147, 2015-11-28,22:22,3,1000014763,5054000
2148, 2017-10-14,06:23,6,1000011475,5043875
2149, 2015-05-31,08:32,1,1000012782,5020250
2150, 2014-10-04,18:18,4,1000002914,5087750
2151, 2015-03-03,04:08,2,1000008812,5013500
2152, 2014-08-03,21:09,4,1000009356,5011250
2153, 2018-03-18,21:01,5,1000010238,5025875
2154, 2014-09-24,06:11,6,1000005671,5106875
2155, 2016-08-21,11:28,4,1000004887,5018000
2156, 2017-11-27,16:23,4,1000009221,5063000
2157, 2018-02-13,00:46,2,1000014460,5073125
2158, 2017-12-24,13:02,1,1000013777,5002250
2159, 2017-08-24,22:18,6,1000014394,5045000
2160, 2016-01-14,09:12,5,1000004749,5079875
2161, 2017-06-08,02:07,3,1000011132,5087750
2162, 2016-07-31,23:38,4,1000009891,5091125
2163, 2014-10-15,11:30,5,1000013323,5094500
2164, 2016-05-04,09:17,2,1000002670,5029250
2165, 2017-10-15,07:06,2,1000011365,5027000
2166, 2013-11-07,23:49,4,1000014507,5041625
2167, 2017-09-07,20:08,5,1000000405,5070875
2168, 2017-07-25,13:42,6,1000001994,5106875
2169, 2014-09-30,03:17,6,1000012837,5065250
2170, 2014-05-04,22:44,4,1000002378,5059625
2171, 2014-11-21,20:41,6,1000013363,5039375
2172, 2017-09-18,02:03,4,1000013322,5015750
2173, 2016-09-18,03:40,2,1000006228,5010125
2174, 2017-02-24,17:33,2,1000010271,5081000
2175, 2017-09-02,03:36,1,1000012389,5101250
2176, 2013-11-28,13:43,6,1000010324,5032625
2177, 2017-05-21,06:17,2,1000004983,5037125
2178, 2013-11-11,10:00,6,1000009297,5015750
2179, 2015-09-25,20:10,6,1000013144,5068625
2180, 2015-02-05,21:33,6,1000007537,5063000
2181, 2016-01-23,15:43,1,1000013488,5047250
2182, 2018-03-27,16:17,1,1000013184,5086625
2183, 2017-11-14,16:40,5,1000001175,5020250
2184, 2016-03-25,03:34,5,1000000775,5083250
2185, 2014-09-11,09:26,2,1000005099,5015750
2186, 2014-03-05,19:07,3,1000010724,5018000
2187, 2017-02-20,03:29,5,1000005279,5043875
2188, 2017-09-08,07:08,6,1000003333,5060750
2189, 2016-07-17,09:22,2,1000004138,5087750
2190, 2018-01-11,23:25,3,1000005006,5042750
2191, 2016-11-09,07:14,6,1000011042,5051750
2192, 2017-11-24,09:18,2,1000011770,5037125
2193, 2017-04-17,01:43,3,1000009125,5072000
2194, 2017-12-20,18:51,3,1000013599,5052875
2195, 2016-10-08,05:26,3,1000004187,5088875
2196, 2017-12-25,08:57,5,1000011424,5010125
2197, 2016-11-08,17:28,4,1000011189,5083250
2198, 2016-06-27,13:14,2,1000000426,5002250
2199, 2015-07-29,21:28,4,1000005291,5108000
2200, 2017-11-20,02:25,2,1000006110,5084375
2201, 2018-02-03,17:19,1,1000010422,5006750
2202, 2017-02-07,17:27,2,1000011901,5020250
2203, 2016-12-27,04:53,5,1000011635,5064125
2204, 2014-10-08,21:25,2,1000006845,5056250
2205, 2016-09-25,03:23,2,1000012429,5103500
2206, 2016-08-22,22:56,3,1000007033,5052875
2207, 2014-06-02,19:50,5,1000012083,5028125
2208, 2014-08-18,12:14,3,1000009718,5041625
2209, 2016-06-20,06:44,5,1000013443,5064125
2210, 2013-04-30,10:02,5,1000000398,5011250
2211, 2013-11-05,18:16,5,1000002230,5050625
2212, 2014-10-28,16:32,1,1000013154,5094500
2213, 2013-06-29,04:33,6,1000005489,5037125
2214, 2016-04-26,00:42,4,1000011547,5000000
2215, 2015-01-28,10:30,4,1000014024,5010125
2216, 2014-08-10,11:59,3,1000002635,5076500
2217, 2017-08-24,07:29,6,1000002646,5058500
2218, 2015-10-28,23:24,6,1000003927,5104625
2219, 2013-04-17,23:46,6,1000003185,5063000
2220, 2014-01-26,04:46,2,1000012449,5105750
2221, 2015-08-30,04:02,4,1000006316,5014625
2222, 2016-12-20,15:20,4,1000007417,5045000
2223, 2014-12-04,09:38,5,1000003607,5030375
2224, 2017-08-16,04:24,6,1000005770,5028125
2225, 2015-06-05,13:44,2,1000004762,5037125
2226, 2018-01-23,19:08,5,1000010391,5018000
2227, 2018-01-19,12:01,4,1000006202,5074250
2228, 2018-04-16,13:09,1,1000009868,5048375
2229, 2015-04-03,03:39,2,1000003051,5038250
2230, 2017-10-09,11:00,2,1000008762,5004500
2231, 2017-09-24,23:07,3,1000007537,5057375
2232, 2014-04-25,08:03,5,1000001922,5057375
2233, 2017-11-25,16:21,3,1000006597,5073125
2234, 2017-05-28,08:58,2,1000007134,5105750
2235, 2013-11-26,09:57,5,1000002726,5013500
2236, 2014-01-08,03:12,2,1000009396,5046125
2237, 2014-05-17,16:00,4,1000013684,5016875
2238, 2015-05-04,20:53,3,1000008308,5025875
2239, 2014-01-16,11:51,5,1000004246,5002250
2240, 2016-11-24,16:01,6,1000003516,5010125
2241, 2016-01-20,05:31,2,1000003482,5031500
2242, 2017-09-08,03:14,4,1000004772,5102375
2243, 2018-04-13,15:18,6,1000004795,5041625
2244, 2015-06-02,19:42,3,1000010805,5034875
2245, 2017-02-17,02:36,2,1000000053,5014625
2246, 2014-01-31,22:50,4,1000005532,5054000
2247, 2017-02-18,05:02,3,1000001287,5110250
2248, 2016-11-01,12:33,2,1000005400,5063000
2249, 2017-04-09,02:40,3,1000011354,5100125
2250, 2014-01-30,08:14,3,1000001553,5101250
2251, 2016-01-21,09:09,1,1000012318,5025875
2252, 2015-05-27,19:41,4,1000001582,5049500
2253, 2016-07-13,01:35,5,1000000010,5100125
2254, 2017-07-07,09:03,4,1000006828,5054000
2255, 2014-09-30,03:09,2,1000006446,5078750
2256, 2013-04-28,22:19,6,1000009033,5042750
2257, 2016-11-15,20:11,2,1000004349,5021375
2258, 2014-03-27,11:27,6,1000005751,5055125
2259, 2016-05-18,22:27,6,1000009270,5016875
2260, 2013-05-08,12:19,6,1000013423,5109125
2261, 2018-04-03,16:25,1,1000002949,5001125
2262, 2017-10-01,05:03,4,1000000223,5010125
2263, 2015-08-16,03:07,6,1000002428,5029250
2264, 2017-09-07,21:44,4,1000008874,5103500
2265, 2015-02-19,15:23,4,1000003308,5039375
