IMO Number,Room Number,Type,Max Guests,price
9103996,1,Standard,4,112
9103996,2,Standard,7,208
9103996,3,Standard,6,168
9103996,4,Standard,3,226
9103996,5,Standard,6,204
9103996,6,Standard,2,220
9103996,7,Standard,7,214
9103996,8,Standard,6,150
9103996,9,Standard,7,109
9103996,10,Standard,4,249
9103996,11,Standard,6,137
9103996,12,Standard,7,111
9103996,13,Standard,5,141
9103996,14,Standard,5,226
9103996,15,Standard,5,233
9103996,16,Standard,6,204
9103996,17,Standard,6,216
9103996,18,Standard,3,159
9103996,19,Standard,4,229
9103996,20,Standard,2,127
9103996,21,Standard,6,102
9103996,22,Standard,3,222
9103996,23,Standard,7,204
9103996,24,Standard,3,169
9103996,25,Standard,3,247
9103996,26,Standard,7,110
9103996,27,Standard,4,205
9103996,28,Standard,4,221
9103996,29,Standard,5,222
9103996,30,Standard,4,140
9103996,31,Standard,5,118
9103996,32,Standard,3,180
9103996,33,Standard,6,207
9103996,34,Standard,4,244
9103996,35,Standard,4,220
9103996,36,Standard,3,165
9103996,37,Standard,5,242
9103996,38,Standard,3,161
9103996,39,Standard,3,215
9103996,40,Standard,3,183
9103996,41,Standard,5,117
9103996,42,Standard,3,137
9103996,43,Standard,6,178
9103996,44,Standard,3,145
9103996,45,Standard,4,162
9103996,46,Standard,3,147
9103996,47,Standard,4,172
9103996,48,Standard,4,175
9103996,49,Standard,6,133
9103996,50,Standard,7,149
9103996,51,Standard,4,228
9103996,52,Standard,5,162
9103996,53,Standard,6,153
9103996,54,Standard,7,107
9103996,55,Standard,4,218
9103996,56,Standard,5,113
9103996,57,Standard,6,171
9103996,58,Standard,2,187
9103996,59,Standard,4,158
9103996,60,Standard,6,110
9103996,61,Standard,5,147
9103996,62,Standard,2,248
9103996,63,Standard,3,188
9103996,64,Standard,2,204
9103996,65,Standard,7,168
9103996,66,Standard,5,102
9103996,67,Standard,3,133
9103996,68,Standard,4,131
9103996,69,Standard,5,173
9103996,70,Standard,7,209
9103996,71,Standard,6,143
9103996,72,Standard,3,176
9103996,73,Standard,6,157
9103996,74,Standard,4,212
9103996,75,Standard,5,102
9103996,76,Standard,7,137
9103996,77,Standard,3,146
9103996,78,Standard,5,249
9103996,79,Standard,2,106
9103996,80,Standard,5,134
9103996,81,Standard,3,177
9103996,82,Standard,5,121
9103996,83,Standard,5,233
9103996,84,Standard,6,170
9103996,85,Standard,2,122
9103996,86,Standard,7,162
9103996,87,Standard,7,249
9103996,88,Standard,5,151
9103996,89,Standard,5,226
9103996,90,Standard,6,151
9103996,91,Standard,6,248
9103996,92,Standard,4,244
9103996,93,Standard,6,100
9103996,94,Standard,5,241
9103996,95,Standard,3,155
9103996,96,Standard,2,130
9103996,97,Standard,7,177
9103996,98,Standard,6,140
9103996,99,Standard,6,181
9103996,100,Standard,5,167
9103996,101,Standard,3,189
9103996,102,Standard,2,247
9103996,103,Standard,3,215
9103996,104,Standard,7,186
9103996,105,Standard,7,134
9103996,106,Standard,7,202
9103996,107,Standard,7,178
9103996,108,Standard,4,181
9103996,109,Standard,5,140
9103996,110,Standard,6,174
9103996,111,Standard,7,110
9103996,112,Standard,4,204
9103996,113,Standard,3,248
9103996,114,Standard,4,152
9103996,115,Standard,3,118
9103996,116,Standard,2,163
9103996,117,Standard,3,119
9103996,118,Standard,3,216
9103996,119,Standard,2,197
9103996,120,Standard,6,193
9103996,121,Standard,3,169
9103996,122,Standard,5,204
9103996,123,Standard,6,137
9103996,124,Standard,7,129
9103996,125,Standard,4,118
9103996,126,Standard,2,165
9103996,127,Standard,5,106
9103996,128,Standard,3,223
9103996,129,Standard,6,118
9103996,130,Standard,4,180
9103996,131,Standard,4,175
9103996,132,Standard,3,155
9103996,133,Standard,5,112
9103996,134,Standard,7,174
9103996,135,Standard,5,220
9103996,136,Standard,7,172
9103996,137,Standard,5,147
9103996,138,Standard,6,150
9103996,139,Standard,4,190
9103996,140,Standard,7,171
9103996,141,Standard,7,175
9103996,142,Standard,2,186
9103996,143,Standard,5,249
9103996,144,Standard,4,182
9103996,145,Standard,2,104
9103996,146,Standard,7,120
9103996,147,Standard,7,199
9103996,148,Standard,7,236
9103996,149,Standard,2,214
9103996,150,Standard,7,201
9103996,151,Standard,3,170
9103996,152,Standard,5,158
9103996,153,Standard,3,146
9103996,154,Standard,2,214
9103996,155,Standard,2,165
9103996,156,Standard,5,111
9103996,157,Standard,2,238
9103996,158,Standard,3,202
9103996,159,Standard,3,212
9103996,160,Standard,6,228
9103996,161,Standard,6,134
9103996,162,Standard,2,120
9103996,163,Standard,4,231
9103996,164,Standard,6,202
9103996,165,Standard,4,162
9103996,166,Standard,5,119
9103996,167,Standard,7,176
9103996,168,Standard,4,133
9103996,169,Standard,3,200
9103996,170,Standard,2,182
9103996,171,Standard,4,201
9103996,172,Standard,6,193
9103996,173,Standard,5,208
9103996,174,Standard,3,126
9103996,175,Standard,6,112
9103996,176,Standard,4,226
9103996,177,Standard,7,142
9103996,178,Standard,7,156
9103996,179,Standard,7,115
9103996,180,Standard,2,219
9103996,181,Standard,7,117
9103996,182,Standard,5,125
9103996,183,Standard,3,225
9103996,184,Standard,6,181
9103996,185,Standard,7,207
9103996,186,Standard,2,196
9103996,187,Standard,3,140
9103996,188,Standard,5,246
9103996,189,Standard,7,239
9103996,190,Standard,4,230
9103996,191,Standard,3,181
9103996,192,Standard,4,160
9103996,193,Standard,5,187
9103996,194,Standard,6,111
9103996,195,Standard,3,155
9103996,196,Standard,4,117
9103996,197,Standard,2,229
9103996,198,Standard,7,189
9103996,199,Standard,6,143
9103996,200,Standard,5,130
9103996,201,Standard,4,156
9103996,202,Standard,7,244
9103996,203,Standard,2,127
9103996,204,Standard,7,215
9103996,205,Standard,2,200
9103996,206,Standard,4,168
9103996,207,Standard,6,205
9103996,208,Standard,6,223
9103996,209,Standard,3,242
9103996,210,Standard,3,221
9103996,211,Standard,4,190
9103996,212,Standard,4,212
